# Generated by Log[com.rapidminer.datatable.SimpleDataTable]
# k value	w?	performance
1.0	true	0.867557039510295
3.0	true	0.8764607679465777
5.0	true	0.885920979410128
7.0	true	0.885920979410128
9.0	true	0.8781302170283807
11.0	true	0.8759042849193099
12.0	true	0.8736783528102393
14.0	true	0.8720089037284363
16.0	true	0.867557039510295
18.0	true	0.862548692264886
20.0	true	0.8636616583194212
1.0	false	0.8664440734557596
3.0	false	0.864218141346689
5.0	false	0.8708959376739009
7.0	false	0.8686700055648303
9.0	false	0.8670005564830273
11.0	false	0.8619922092376182
12.0	false	0.8636616583194212
14.0	false	0.8603227601558152
16.0	false	0.860879243183083
18.0	false	0.8497495826377296
20.0	false	0.8530884808013356
